Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1459654500,KER9943,NY,PAS,06/25/2022,40,SDN,LEXUS,P,44290,14490,14740,20221027,112,112,112,967393,0112,0000,1115P,,Q,,69-41,EXETER STREET,,0,408,E2,,BBBBBBB,ALL,ALL,SILVE,0,2020,-,0,,,,,
1481929781,KXZ1428,NY,PAS,07/02/2022,40,SDN,LEXUS,P,42785,9840,39017,20240616,111,111,111,944065,0111,0000,0015A,,,F,43-05,DOUGLASTON PKWY,,0,408,F2,,BBBBBBB,ALL,ALL,BK,0,2022,-,0,,,,,
1482049478,KEN6831,NY,PAS,06/16/2022,17,SDN,LEXUS,P,10210,18930,18950,20220830,23,23,23,965990,0023,0000,0910A,,NY,F,1774,3 AVE,,0,408,C4,,BBBBBBB,ALL,ALL,WHI,0,0,-,0,,,,,
1482099380,KWW4895,NY,PAS,06/25/2022,98,SDN,LEXUS,P,92430,14830,14880,20240505,60,60,60,969763,0060,0000,0249A,,K,F,2551,WEST STREET,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2007,-,0,,,,,
1482136650,GTT3400,NY,PAS,06/08/2022,14,SDN,LEXUS,X,0,0,0,20220720,115,115,302,49478,0302,0000,1146P,2345P,NY,F,,TERMINAL C ARRIVALS,BUS LANE,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2008,-,0,,,,,
1471512058,KJB6077,NY,PAS,06/05/2022,40,SDN,LEXUS,P,60810,41070,17140,20230224,102,102,102,959599,0102,0000,0737P,,Q,F,83-10,ROCKAWAY BLVD,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,
1482161321,GEN9345,NY,PAS,06/30/2022,24,SDN,LEXUS,P,16480,19030,15780,20230707,62,62,62,958579,0062,0000,0400P,,K,F,126,BAY 22 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2004,-,0,,,,,
1482406081,KGR5358,NY,PAS,06/19/2022,98,SDN,LEXUS,P,25790,19720,49990,20220922,103,103,103,968175,0103,0000,0903P,,Q,F,104-38,197 ST,,0,408,E2,,BBBBBBB,ALL,ALL,RED,0,2008,-,0,,,,,
1471911329,JMZ7967,NY,PAS,07/06/2022,24,SDN,LEXUS,P,59330,55430,58330,20230931,90,90,90,972060,0090,0000,0843A,,K,F,101,MAUJER ST,,0,408,E9,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1472079127,KGY9580,NY,PAS,06/15/2022,14,SDN,LEXUS,P,80330,89730,26730,20230421,77,77,77,933452,0077,0000,0950A,,K,O,473,SAINT JOHNS PLACE,,0,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1472472974,JFY4022,NY,PAS,03/31/2022,20,SDN,LEXUS,P,0,0,0,20230211,114,114,780,934882,0780,0000,1148A,,Q,,,O/O 28-11 QUEENS PLA,,0,408,D,,BBBBBBB,ALL,ALL,GY,0,2019,-,0,,,,,
1482675470,JCF3989,NY,PAS,06/26/2022,98,SDN,LEXUS,P,16730,10880,19030,20220830,62,62,62,970212,0062,0000,0121A,,K,F,66,BAY 29 ST,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2007,-,0,,,,,
1472625924,KRP6960,NY,PAS,06/24/2022,40,SDN,LEXUS,P,30130,14580,14630,20231017,61,61,61,965677,0061,0000,0640A,,K,F,2062,COYLE STREET,,0,408,K6,,BBBBBBB,ALL,ALL,WHT,0,2021,-,0,,,,,
1472987883,KNN1405,NY,PAS,07/03/2022,14,SDN,LEXUS,P,21530,23030,20030,20240613,60,60,60,967020,0060,0000,0632P,,K,F,201,BRIGHTON 1 RD,,0,408,F1,,BBBBBBB,ALL,ALL,GREY,0,2018,-,0,,,,,
1483442986,HDM2036,NY,PAS,06/06/2022,20,SDN,LEXUS,P,49690,23290,23490,20221216,107,107,107,942618,0107,0000,0744A,,Q,F,150-01,HILLSIDE AVE,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,,,,,
1473293340,KNY5458,NY,PAS,07/03/2022,14,SDN,LEXUS,P,25190,26090,33890,0,6,6,6,936950,0006,0000,0137A,,NY,F,128,MACDOUGAL ST,,0,408,C,,YYYYYYY,1200A,1200A,,0,0,-,0,,,,,
1473404435,KKR5752,NY,PAS,06/17/2022,14,SDN,LEXUS,P,34870,10810,10910,20230330,18,18,18,927346,0018,0000,1115A,,NY,F,320,W 55 ST,,0,408,D,,YYYYYBB,0800A,0700P,BK,0,2011,-,0,,,,,
1484298299,KNM4720,NY,PAS,06/25/2022,46,SDN,LEXUS,P,0,40404,40404,20230430,33,33,33,969914,0033,0000,0915P,,NY,O,2364,AMSTERDAM,,0,408,C3,,BBBBBBB,ALL,ALL,WHI,0,2016,-,0,,,,,
1484299516,KUU6383,NY,PAS,06/18/2022,14,SDN,LEXUS,P,36930,11115,0,20240329,30,30,33,965162,0033,0000,0806P,,NY,O,,W 158 ST,HENRY HUDSON PKWY,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2014,-,0,,,,,
1484324821,KPW2626,NY,PAS,06/16/2022,40,SDN,LEXUS,P,10030,40404,40404,20230888,68,68,68,970027,0068,0000,1057P,,K,F,7113,70 ST,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1484328190,KED8991,NY,PAS,06/15/2022,98,SDN,LEXUS,P,68730,6180,6280,20220917,68,68,68,971814,0068,0000,0201P,,K,F,1144,OVINGTON AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2008,-,0,,,,,
1484328619,HBX2676,NY,PAS,06/23/2022,14,SDN,LEXUS,P,77130,17380,0,20231229,68,68,68,950777,0068,0000,0837P,,K,F,,SHORE RD,BAY RIDGE AVE,0,408,F2,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1473514526,JER5840,NY,PAS,07/07/2022,20,SDN,LEXUS,P,0,0,0,20221223,44,44,163,961386,0163,0000,1035P,,BX,,,C/O 164 ST,NELSON AVE,0,408,F7,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1484454716,KRN2825,NY,PAS,06/18/2022,98,SDN,LEXUS,P,9790,7240,7540,20230829,114,114,114,972046,0114,0000,0046A,,Q,F,25-82,42 STREET,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2010,-,0,,,,,
1474317030,HLY8275,NY,PAS,07/01/2022,14,SDN,LEXUS,P,29690,36790,36810,20230604,30,30,30,965282,0030,0000,0847P,,NY,O,740,RIVERSIDE DR,,0,408,C,,BBBBBBB,ALL,ALL,GY,0,2010,-,0,,,,,
1484687255,HZJ8312,NY,PAS,06/11/2022,51,SDN,LEXUS,P,13650,29370,0,20220628,25,25,1,160502,0001,0000,1245P,,NY,F,,SUNKEN MEADOW LOOP,RANDALLS ISLAND,0,408,E3,,BBBBBBB,ALL,ALL,GREY,0,2014,-,0,,,,,
1485688486,JEL6847,NY,PAS,06/21/2022,17,SDN,LEXUS,O,75530,29830,20110,20221220,84,84,0,0,0KCV,0000,0751A,,,F,96,SCHERMERHORN ST,,0,408,C4,,YYYYYBB,0700A,0700P,BLU,0,2019,-,0,,,,,
1485739603,LSC9044,PA,PAS,07/02/2022,46,SDN,LEXUS,P,9720,43520,12120,0,41,41,41,972019,0041,0000,1044P,,BX,O,960,AVE ST JOHN,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1485774597,KHF9075,NY,PAS,06/23/2022,40,SDN,LEXUS,P,52400,70209,29337,20230425,120,120,120,972227,0120,0000,0545A,,NY,O,80,VAN BUREN ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0,2005,-,1,,,,,
1485803330,JLP4404,NY,PAS,06/13/2022,98,SDN,LEXUS,P,55480,47590,50410,20231018,121,121,121,958260,0121,0000,1001A,,R,F,1095,WILLOWBROOK RD,,0,408,C3,,BBBBBBB,ALL,ALL,G,0,2016,-,0,,,,,
1487097918,KSG9597,NY,PAS,06/17/2022,14,SDN,LEXUS,P,90880,76330,70165,20231222,60,60,60,966501,0060,0000,1003A,,K,F,2875,WEST 8 ST,,0,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1487107365,HGE6675,NY,PAS,06/18/2022,17,SDN,LEXUS,P,22040,20890,53850,20240403,106,106,106,962239,0106,0000,1118P,,Q,F,116-24,132 ST,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2004,-,0,,,,,
1485948174,KDV1506,NY,PAS,06/25/2022,98,SDN,LEXUS,P,19040,60810,20240,20220628,106,106,106,945043,0106,0000,1035P,,Q,F,106-71,97 ST,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2020,-,0,,,,,
1486120866,KDR7615,NY,PAS,07/03/2022,19,SDN,LEXUS,P,64290,7540,7790,20220812,114,114,114,968861,0114,0000,1224P,,,F,28-02,STEINWAY ST,,0,408,C3,,BBBBBBB,ALL,ALL,WHIT,0,2017,-,0,,,,,
1487276461,KKR5752,NY,PAS,06/25/2022,98,SDN,LEXUS,P,23020,25890,65920,20230330,40,40,40,961752,0040,0000,0153P,,BX,O,354,CYPRESS AVE,,0,408,C3,,BBBBBBB,ALL,ALL,BLK,0,2011,-,0,,,,,
1486149741,LSY3904,PA,PAS,06/25/2022,40,SDN,LEXUS,P,13740,59990,53090,20220531,108,108,108,966873,0108,0000,0405P,0400P,Q,F,44-02,65 ST,,20220625,408,E3,,BBBBBBB,ALL,ALL,WH,0,2011,-,0,,,,,
1487312337,LBD4989,PA,PAS,07/02/2022,14,SDN,LEXUS,P,65120,40404,40404,20200630,43,43,43,963519,0043,0000,0710P,,BX,O,54,SOUNDVIEW AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1486188163,JRS1373,NY,PAS,06/25/2022,19,SDN,LEXUS,P,57790,19690,19740,20240518,115,115,115,931460,0115,0000,1236P,,Q,F,10315,NORTHERN BLVD,,0,408,C3,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1486213650,KLT5916,NY,PAS,06/15/2022,74,SDN,LEXUS,P,0,40404,40404,20220320,75,75,802,973054,0802,0000,0635P,,K,F,884,ASHFORD AVE,,0,408,D,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1486362539,KVC1759,NY,PAS,06/28/2022,14,SDN,LEXUS,P,0,40404,40404,20231203,7,7,7,972308,0007,0000,0930P,,,F,200,CLINTON,,0,408,J5,,BBBBBBB,ALL,ALL,GRAY,0,2010,-,0,,,,,
1487146553,KRN2825,NY,PAS,07/03/2022,50,SDN,LEXUS,P,0,0,0,20230829,106,106,106,959705,0106,0000,0031A,,,,,S/W/C 123 ST,116 AVE,0,408,E3,,BBBBBBB,ALL,ALL,BK,0,2018,-,0,,,,,
1487151767,HZE2345,NY,PAS,06/19/2022,70,SDN,LEXUS,P,52590,50690,59690,20220617,103,103,103,956882,0103,0000,0135A,,Q,F,145-09,LAKEWOOD AVE,,0,408,F7,,BBBBBBB,ALL,ALL,GY,0,1995,-,0,,,,,
1487152516,KPM7461,NY,PAS,06/19/2022,20,SDN,LEXUS,P,24540,18140,18290,20230819,103,103,103,973032,0103,0000,1022A,,Q,F,90-17,169 STREET,,0,408,J3,,BBBBBBB,ALL,ALL,WHI,0,1999,-,0,,,,,
1487160483,JFZ8852,NY,PAS,06/27/2022,98,SDN,LEXUS,P,18550,46660,27125,20230401,105,105,105,962686,0105,0000,1142A,,R,F,237-17,93 RD,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2005,-,0,,,,,
1487162042,KVW3254,NY,PAS,07/05/2022,98,SDN,LEXUS,P,23490,21560,21620,20220929,113,113,113,954645,0113,0000,0500A,0500A,Q,F,124-08,153 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BK,0,2004,-,0,,,,,
1487166552,KXH1769,99,PAS,07/08/2022,14,SDN,LEXUS,P,29035,25540,0,20240613,107,107,107,971935,0107,0000,0052A,,Q,,,AVON RD,193 STREET,0,408,E2,,BBBBBBB,ALL,ALL,GREY,0,2021,-,0,,,,,
1486380566,HFB7808,NY,PAS,07/02/2022,48,SDN,LEXUS,P,29890,21055,15310,20200417,5,5,5,948649,0005,0000,1245A,,NY,O,9,RIVINGTON ST,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2016,-,0,,,,,
1486403529,JNK4141,NY,PAS,06/18/2022,21,SDN,LEXUS,P,30240,43590,37390,20220623,101,101,101,968049,0101,0000,1112A,,Q,F,407,BEACH 20 ST,,0,408,E9,,BBBBBBB,ALL,ALL,RED,0,2006,-,0,,,,,
1487172278,JNK2286,NY,PAS,07/01/2022,40,SDN,LEXUS,P,25040,18140,51090,20231218,103,103,103,956882,0103,0000,1235A,,Q,F,90-33,179 STREET,,0,408,F2,,BBBBBBB,ALL,ALL,BK,0,2010,-,1,,,,,
1486497640,KNC2969,NY,PAS,06/16/2022,46,SDN,LEXUS,P,10210,18930,18950,20230702,23,23,23,965990,0023,0000,0919A,,NY,F,1774,3 AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1484804089,KWM8935,NY,PAS,06/08/2022,63,SDN,LEXUS,U,0,0,0,20240619,100,100,838,107,0838,0000,1118P,1110A,Q,,,NORTH CHANNEL BR,WEST LOT,0,408,F3,,BBBBBBB,ALL,ALL,BL,0,2016,-,0,,,,,
1484840616,KLL3599,NY,PAS,06/25/2022,20,SDN,LEXUS,U,0,194,0,20230603,100,100,835,317,0835,0000,0430P,,Q,,,T4 LOT,FORT TILDEN,0,408,D,,BBBBBBB,ALL,ALL,WHT,0,2005,-,0,,,,,
1485142805,KXL8266,NY,PAS,07/04/2022,14,SDN,LEXUS,P,28830,23030,20030,20240517,60,60,60,967702,0060,0000,1020P,,K,O,3300,CONEY ISLAND AVE,,0,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1485172421,KJC3648,NY,PAS,06/22/2022,19,SDN,LEXUS,P,76330,88830,77030,20221201,61,61,61,960115,0061,0000,0513P,,K,F,1710,SHEEPSHEAD BAY RD,,0,408,C,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1486661841,KPT8861,NY,PAS,07/07/2022,40,SDN,LEXUS,P,67990,12590,46190,20230914,104,104,104,960995,0104,0000,1240P,,Q,F,60-29,WOODBINE ST,,0,408,F7,,BBBBBBB,ALL,ALL,TAN,0,2022,-,0,,,,,
1486705832,HPX2686,NY,PAS,06/28/2022,20,SDN,LEXUS,P,56430,70930,18830,20230419,75,75,75,943673,0075,0000,1022P,,,F,506,LINWOOD ST,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2006,-,0,,,,,
1486706990,KSM2498,NY,PAS,06/19/2022,46,SDN,LEXUS,P,49830,15480,73420,20230921,75,75,75,961785,0075,0000,0730P,,NY,O,372,HIGHLAND BLVD,,0,408,F1,,BBBBBBB,ALL,ALL,RED,0,2010,-,0,,,,,
1486788130,JKN4726,NY,PAS,06/28/2022,50,SDN,LEXUS,P,48230,73690,67030,20240213,71,71,71,973150,0071,0000,1259P,,K,O,292,HAWTHORNE STREET,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2018,-,0,,,,,
1486789456,GVJ6201,NY,PAS,06/28/2022,46,SDN,LEXUS,P,40430,64830,23330,20240224,71,71,71,972575,0071,0000,1146P,,K,F,511,FENIMORE ST,,0,408,F2,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1485294812,KDS3419,NY,PAS,06/19/2022,20,SDN,LEXUS,P,5430,17380,68730,20220723,68,68,68,972463,0068,0000,1015P,,K,F,6933,4 AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,,,,,
1485316066,JFL4691,NY,PAS,07/05/2022,46,SDN,LEXUS,P,36010,31190,10610,0,28,28,28,967387,0028,0000,0509P,,NY,F,118,WEST 112 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1486801109,GJS3939,NY,PAS,06/28/2022,14,SDN,LEXUS,P,27580,62330,58220,20230401,71,71,71,969793,0071,0000,1245A,,K,F,72,CLOVE ROAD,,0,408,F2,,BBBBBBB,ALL,ALL,WHITE,0,2005,-,0,,,,,
1485420787,KRD2018,NY,PAS,06/22/2022,40,SDN,LEXUS,P,0,40404,40404,20230731,66,66,66,167694,0066,0000,0920A,,K,F,3918,FORTH HAMILTON,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0,2007,-,0,,,,,
1485441640,LNC5342,PA,PAS,06/27/2022,98,SDN,LEXUS,P,35730,94430,25130,0,70,70,70,972692,0070,0000,0858P,,K,O,31,EAST 21,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1485443076,KSP4987,NY,PAS,06/14/2022,46,SDN,LEXUS,P,35580,65030,41730,20230926,70,70,70,972257,0070,0000,0713A,,,O,600,E 17TH STREET,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,1999,-,0,,,,,
1485461479,KFK8804,NY,PAS,06/15/2022,46,SDN,LEXUS,P,35730,33530,32930,20221118,70,70,70,964713,0070,0000,0735P,,K,F,520,E 21 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2016,-,0,,,,,
1486847444,KWJ9857,PA,PAS,06/30/2022,98,SDN,LEXUS,P,37030,74230,93830,0,67,67,67,949217,0067,0000,0248A,,K,F,154,EAST 51 ST,,0,408,F2,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1486849969,KEF4069,NY,PAS,01/07/2022,46,SDN,LEXUS,P,74230,38080,73480,20220817,67,67,67,972627,0067,0000,0708P,,K,F,1087,RUTLAND RD,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1486851368,KJE4196,VA,PAS,06/22/2022,98,SDN,LEXUS,P,36730,26630,55330,0,67,67,67,972419,0067,0000,1046P,,K,F,5,E 42 ST,,0,408,F2,,BBBBBBB,ALL,ALL,GR,0,0,-,0,,,,,
1485476914,KLD1698,NY,PAS,06/13/2022,46,SDN,LEXUS,P,0,0,0,20230118,71,71,71,972279,0071,0000,0738P,,K,,,C/O KINGSTON AVE,LEFFERTS AVE,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,
1485512815,JBD3946,NY,PAS,06/03/2022,40,SDN,LEXUS,P,6630,5880,72630,20220727,78,78,78,958298,0078,0000,0858P,,K,F,455,15 STREET,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2015,-,0,,,,,
1486870910,GDS3334,NY,PAS,06/30/2022,98,SDN,LEXUS,P,36480,56230,26230,20230109,67,67,67,964700,0067,0000,0909A,,K,F,231,E 37 ST,,0,408,E9,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1486888938,HNJ5985,NY,PAS,06/17/2022,46,SDN,LEXUS,P,37180,56230,26230,20221017,67,67,67,958371,0067,0000,0801P,,K,F,249,E 54 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,GRY,0,2003,-,0,,,,,
1486890374,KMX4738,NY,PAS,06/24/2022,98,SDN,LEXUS,P,13880,18630,35930,20240111,67,67,67,954238,0067,0000,1237A,,K,F,2404,AVENUE D,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0,2015,-,0,,,,,
1486936441,KSU5809,NY,PAS,07/06/2022,98,SDN,LEXUS,P,0,40404,40404,20231003,73,73,73,972084,0073,0000,1149A,1149A,,F,117,SARATOGA,,0,408,E2,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1487627920,HSA2923,NY,PAS,06/20/2022,98,SDN,LEXUS,P,61390,45790,54580,20230926,109,109,109,951887,0109,0000,1113A,,Q,F,133-14,SANFORD AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,2006,-,0,,,,,
1487901033,KUY4637,NY,PAS,06/13/2022,98,SDN,LEXUS,P,72920,29820,78510,20220621,49,49,49,971418,0049,0000,0954A,,BX,,1530,WARING AVE,,0,408,E6,,BBBBBBB,ALL,ALL,WHT,0,2016,-,0,,,,,
1488080604,KMB7500,NY,PAS,07/03/2022,19,SDN,LEXUS,P,53790,21790,21840,20230429,106,106,106,962946,0106,0000,0220A,,,F,128-02,LIBERTY AVE,,0,408,E2,,BBBBBBB,ALL,ALL,GR,0,2008,-,0,,,,,
1488127268,KTN2734,NY,PAS,07/01/2022,50,SDN,LEXUS,P,52090,22240,22340,20231206,102,102,102,972064,0102,0000,0639A,,Q,F,135-46,KEW GARDENS RD,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2010,-,0,,,,,
1487640500,KVZ8331,NY,PAS,06/22/2022,46,SDN,LEXUS,P,6940,19290,19390,20230625,115,115,115,961285,0115,0000,0736P,,Q,F,100-17,23 AVE,,0,408,5,,BBBBBBB,ALL,ALL,RED,0,2007,-,0,,,,,
1487653360,JRT7052,NY,PAS,07/01/2022,98,SDN,LEXUS,P,7190,7090,50330,20240529,114,114,118,966510,0118,0000,0410P,,Q,F,24-36,24 ST,,0,408,C,,BBBBBBB,ALL,ALL,,0,2015,-,0,,,,,
1488128595,JRA7939,NY,PAS,07/03/2022,40,SDN,LEXUS,P,19540,17290,17240,20240128,102,102,102,964841,0102,0000,0408A,,Q,,85-34,102 ST,,0,408,E2,,BBBBBBB,ALL,ALL,SILVE,0,2007,-,0,,,,,
1488130292,JCG5804,NY,PAS,06/20/2022,98,SDN,LEXUS,P,20590,28890,18790,20230730,102,102,102,956472,0102,0000,0541A,,Q,F,94-13,112 ST,,0,408,D,,BBBBBBB,ALL,ALL,GRY,0,2022,-,0,,,,,
1488131132,KFG6374,NY,PAS,07/04/2022,40,SDN,LEXUS,P,16040,40404,40404,20230208,102,102,102,961339,0102,0000,0940A,,Q,F,95-17,77 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GOLD,0,1998,-,0,,,,,
1487659258,HHX8541,NY,PAS,07/10/2022,19,SDN,LEXUS,P,0,40404,40404,20220629,114,114,114,968934,0114,0000,1119P,,,F,28-61,STEINAWY ST,,0,408,C3,,BBBBBBB,ALL,ALL,WHT,0,2018,-,0,,,,,
1487661150,HPA7647,NY,PAS,07/03/2022,19,SDN,LEXUS,P,64290,7540,7790,20230608,114,114,114,961952,0114,0000,0208A,,Q,F,28-02,STEINWAY ST,,0,408,F7,,BBBBBBB,ALL,ALL,BK,0,2016,-,0,,,,,
1488150898,JLG5804,NY,PAS,06/12/2022,40,SDN,LEXUS,P,0,0,0,20230730,102,102,102,950727,0102,0000,0650P,,Q,,,C/O 106 ST,95 AVE,0,408,E2,,BBBBBBB,ALL,ALL,GY,0,2022,-,0,,,,,
1487674612,JSC9136,NY,PAS,07/03/2022,46,SDN,LEXUS,P,38643,36490,11240,20240603,108,108,108,966275,0108,0000,0034A,,,F,52-41,CENTER BLVD,,0,408,F1,,BBBBBBB,ALL,ALL,GREY,0,2007,-,0,,,,,
1487683716,HPD1542,NY,PAS,06/26/2022,40,SDN,LEXUS,P,8740,28790,7540,20230427,114,114,114,947398,0114,0000,0710P,,Q,F,25-98,36 ST,,0,408,F2,,BBBBBBB,ALL,ALL,SILVE,0,2015,-,0,,,,,
1487691841,KGS6775,NY,PAS,06/22/2022,40,SDN,LEXUS,P,0,40404,40404,20230324,114,114,114,971400,0114,0000,0340A,,Q,F,25-11,STEINWAY,,0,408,E2,,BBBBBBB,ALL,ALL,W,0,2019,-,0,,,,,
1487943647,GZH7691,NY,PAS,06/19/2022,46,SDN,LEXUS,P,24690,36630,36650,20230827,32,32,32,969912,0032,0000,0859P,,NY,O,669,LENOX AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GRY,0,1999,-,0,,,,,
1487962630,KFM3149,NY,PAS,07/02/2022,40,SDN,LEXUS,P,28390,23350,30190,20230724,34,34,38,972761,0038,0000,0704A,,NY,F,175,PAYSON AVE,,0,408,D1,,BBBBBBB,ALL,ALL,BLACK,0,2012,-,0,,,,,
